,name,description
682,BingX,"Bingbon is a fintech company dedicated to making crypto derivatives market available and accessible to the world and enabling all participants from all walks of life to invest in a simple and transparent way. Established in 2018, Bingbon allows users to trade contracts of Cryptocurrencies, Global Indices, Forex, and Commodities for long and short positions. Bingbon is also the first crypto derivatives exchange to offer copy trading feature for users."
683,ParamountDax,"The ParamountDax exchange opened for cryptocurrency trading in April 2020 based in Estonia is a promising platform for cryptocurrency exchange, which has taken into account all the shortcomings of its competitors and created a unique platform for its users. ParamountDax has created a highly competent, stable, and secure crypto exchange. ParamountDax aims to revolutionize cryptocurrency trading by serving as an ideal platform for cryptocurrency trading, while also solving the problems faced by today's crypto industry.
ParamountDax gives users access to a robust set of trading tools, Market Detector, daily bonus rewards of up to 46% through the ParamountDax (PRDX) platform token, the simplicity of the Unique Trading From the Chart Interface is sure to meet the needs of any trader at any level of experience, with direct on-chart trades and a stable environment for digital asset trading, ParamountDax Exchange aims to serve millions of clients from many countries and regions."
684,NiceHash,NiceHash Exchange is a centralized cryptocurrency exchange integrated into the NiceHash platform and build for miners and traders.
685,DODO,
686,Gleec BTC Exchange,Gleec BTC is an exchange that offers a simple interface to manage your crypto transactions and provides a great range of services to help you access the blockchain technology. Our mission is to make cryptocurrencies accessible to a very large audience.
687,Jymdax,We are an exchange made up of the need to send money from anywhere in the world starting from Mexico to Cuba.
688,Instant Bitex,Instant Bitex is a coin exchange from the United Kingdom. The company running the exchange is INSTANT BITEX LIMITED (company number 11353300).
689,Kraken Futures,
690,BLOCK BEATS EXCHANGE,"Blockbeats is a new generation exchange offering the most in-demand services on the market. Spot exchange, margin trading, crypto-backed loans. 24/7 support. We work best to be the first."
691,BankCEX,
692,Bankera,"Bankera Exchange offers a global and secure cryptocurrency trading platform featuring a comfortable interface for all level traders. It is the second product by the team behind Bankera on a mission to develop the financial infrastructure for the blockchain era. Built on years of expertise in crypto and FinTech fields, the trading platform is designed to meet the needs of today’s cryptocurrency market."
693,n.exchange,"n.exchange is a non-custodial instant crypto exchange, meaning no user funds are held on the platform. Serving as an intermediary between users and crypto exchanges, n.exchange aims to make this process as effortless as possible for everyone interested in buying and selling cryptocurrency. In operation since 2016, the service allows users to have fast transactions and enjoy high limits. n.exchange offers an easily recognizable crypto and non-crypto enthusiasts interface, favourable exchange rates, and secure transactions.
n.exchange offers its API to any service that wishes to expand its audience reach and withstand any large volumes of transactions. Multiple crypto businesses already use the n.exchange API which grants the functionality with the instant swap feature."
694,BitMarket,"BitMarket is an European exchange that offers both fiat-to-crypto and crypto-to-crypto trading. Its transaction fees depend on the type of transaction, as well as on the user's trading volume. It also offers leveraged trading and swaps contracts - investments with steady income by providing liquidity to investors trading on margin. It has been in business since 2015."
695,Energiswap,
696,Bakeryswap,
697,KLAYswap,
698,Satodax,"Satoex offers low trading fee ""starting from 0.045%"", here you can find the most important cryptocurrencies"
699,NUT MONEY,"NUT is a Protocol initialized on Huobi ECO Chain with lower gas cost and higher efficiency. Besides the basic loan function, NUT would bring more in the following steps, all is aiming for a Crunchy DeFi environment."
700,BitxOnex,"BitxOnex is a cryptocurrency trading platform designed for people by people. It is a reliable and secure way to buy, sell and trade crypto with low fees and unmatched liquidity. Try yourself with BitxOnex’s demo trading account, apply for free crypto, and play games to earn even more crypto. Best of all, we give you access to the widest variety of cryptocurrencies on the market."
701,ACX,ACX is an Australian cryptocurrency exchange that operates since 2016. It is owned by the Hong Kong-based Peak HK Limited. The company also operates a Cryptocurrency Arbitrage Fund since 2013. ACX works only with Australian bank accounts and does not provide support for other fiat currencies than AUD.
702,Bitxchange,A regulated crypto exchange that provide decentralize services. We are registered with ASIC on business regulation side and AUSTRAC for AML/CTF regulation side.
703,Btrade,
704,Coinut,"Coinut is a Singapore-based cryptocurrency exchange for bitcoin, cryptocurrencies, futures, options and binary options trading. Founded in 2013, by one of the core developers of Litecoin, They are one of the earliest cryptocurrency exchanges in Singapore. They are headquartered in Singapore, with subsidiaries in North America (Canada) & Europe (Switzerland)."
705,MyCointainer,"Mycointainer.com is an all-in-one cryptocurrency staking and exchange platform with over 140 integrated coins and more than 600 trading pairs, making it a great choice for anyone looking for a user-friendly and reliable way to trade and earn rewards"
706,Negocie Coins,"Negocie Coins is one of the many Brazilian cryptocurrency exchanges. It is registered in 2014 with the company number CNPJ 20.692.244 / 0001-90, and has its main office in Alameda Doutor Carlos de Carvalho, 417, in Curitiba."
707,Tidex,"Tidex is a Waves-integrated exchange that currently provides an address in the US but appears to be based in Russia, launched in 2017. The platform offers trading in more than 70 digital currencies."
708,Bithumb Singapore,0
709,Prizmbit,
710,BCEX,
711,BitMEX,"BitMEX is a Peer-to-Peer Trading Platform that offers leveraged contracts that are bought and sold in Bitcoin. Founded by HDR Global Trading Limited in 2014 is operating in Hong Kong and registered in the Seychelles.
<br> <br>

Exchange assets (transparency): <br>
$652 483 093 - according to defillama.com
<br> <br>
Disclaimer - data is sourced from third-party and static at the current moment, we don't know about distribution of funds, it's relayed from exchanges, thus 3rd-party full independent audits is required for full picture"
712,FYB-SE,
713,CoinExchange,CoinExchange is a cryptocurrency exchange which operates solely on a crypto-to-crypto basis.
714,Bit2C,"Bit2C is an Israeli cryptocurrency exchange founded in 2013 that offers trading in several digital assets against the local fiat currency, ILS. Clients of this exchange are required to verify their identity and connect their account to an Israeli Bank account to be able to use the platform. "
715,Polarity,
716,Hypecoinexchange,
717,Simex,"SIMEX is a Russian cryptocurrency exchange and equity investment platform registered in the US. It offers trading in Bitcoin, Ethereum, and several ERC-20 tokens and also supports USD & USDT. The SIMEX digital assets exchange offers investors a place to buy and sell investment shares, using a variety of methods to deposit and withdraw funds."
718,MyCoinStory,"MCS is a Cryptocurrency Derivatives Trading Platform built to cater for traders of all kind. Currently offering 24/7 Customer Support and up to 100x Leverage on BTC/USDT trading pairs.

As a Trader Centric exchange, traders always come first on MCS. MCS aims to lead the trend of cryptocurrency derivatives trading with a fair, open and accessible platform by consistently evolving through continuous feedback. With MCS, anyone can trade derivatives products without barriers to geography, knowledge, and technology. MCS wants to give all the traders the power to trade like experts with inclusive trading support and sophisticated built-in trading systems to provide an amazing trading experience."
719,NonKyc.io,"Founded in 2023, NonKYC.io strives to provide its users with the best trading experience and give small and medium market cap assets a reliable trading hub.

Our goal is to maintain a fast and user friendly system while also concentrating on security to keep users, data, and assets safe.

Security of our users' data & assets is always our top priority and we are focused on building an easy to use digital asset trading platform for everyone to enjoy."
720,Liquid,"Launched in September 2018, Quoine is the team behind this multi-crypto exchange platform called Liquid that also introduced two other crypto exchanges viz. Quoinex and Qryptos. Quoine, the parent company of Liquid is one of the few exchanges that is a registered and regulated under financial services authority in Japan, as per country’s new crypto regulations."
721,Crypton Exchange,Crypton Exchange is a cutting-edge cryptocurrency trading platform. It is the first native Utopia ecosystem service providing the secure and comfortable way to buy and sell Crypton cryptocurrency.
722,FTX Futures,"FTX is a cryptocurrency derivatives exchange built by traders, for traders. They strive to build a platform powerful enough for professional trading firms and intuitive enough for first-time users."
723,KaratBit,
724,Radar Relay,"The Radar Relay decentralized exchange enables peer-to-peer trading of cryptocurrencies. The Radar Relay Beta App launched in August 2017. Alan Curtis (CEO), Mike Roth (CTO), Brandon Arthur Roth (CCO), and Devin Eldridge (COO) lead the project. The team received early backing from Blockchain Capital in December 2017. "
725,ZB.COM,"ZB is a Chinese cryptocurrency exchange that launched in the aftermath of the ICO ban in in the country. It offers mainly crypto-to-crypto spot trading, but there is also some crypto-to-fiat trading. According to the information on its website, ZB.COM’s headquarters are in in North America (Canada, the United States), and it also has operations in Southeast Asia (Bangkok), West Asia (Dubai), as well as South Korea, and Switzerland. "
726,Huobi Korea,
727,Bancor Network,The Bancor Network is a project which facilitates the quick and easy conversion of different Etherum based tokens. The exchange launched after a successful ICO in 2017.  Decentralized exchanges do not require a third party to store your funds.
728,Bitunivex,
729,Needyex,
730,Shuttle Swap,"Shuttle Swap is Part of Btcix Ecosystem. Btcix Ecosystem is a Type of Coin with an Evm-Based Structure and Can Carry 3 Modes. For example POA , POW , POS"
731,Coin Republic,"Coin Republic is a mobile first crypto trading platform designed to trade, deposit and withdraw with ease. We offer competitive 0.1% flat trading fees and high liquidity to make it easy for our customers to find buyers and sellers. Our customers funds are secured by an independent, institutional grade digital asset custody."
732,InPay,"InPay is a payment processor, that you can use the instant conversion function of bitcoin payments without taking the exchange rate risk against the local currency. "
733,SBIT500,"SBIT500 is an investment platform for increasing income using algorithmic strategies of best traders.
Our mission is to reduce cryptocurrency investment risks to generate passive income.
Created in 2019, SBIT500 started operating on the principle of a private hedge fund. Since 2021 the company has opened access to the platform for private investors."
734,Wunderbit,"Wunderbit is a fintech that strives to facilitate the real world use of cryptocurrencies through a number of products and solutions. Wunderbit currently offers bitcoin & crypto exchange service, social trading platform, bitcoin payment processing service and over-the-counter service."
735,Bitexlive,"Bitexlive is a cryptocurrency exchange platform that allows their users to exchange different cryptocurrencies with other users. It is Turkey-based digital asset exchange launched in 2018. Supported languages at the moment: English, Turkish, Deutsch. "
736,AtomicDEX,"AtomicDEX is a p2p DEX built by Komodo Platform to enable native blockchain to blockchain trading. There's no intermediaries, no proxy tokens, and it implementes the original hashlock-time contracts proposed by Tier Nolan in 2014."
737,WBFEX,"WBFEX global digital assets exchange (WBFEX) is a digital currency exchange under the WBF financial group in New York. 
It is registered in Singapore and aims to build a third-generation digital currency exchange that integrates the international trading ecosystem.
With strong strength, rich industry resources and profound blockchain technology strength, WBFEX global digital asset exchange will lead the development trend in digital asset security trading, international services, the whole industry ecology and other aspects."
738,Panxora,"Panxora is one of the many cryptocurrency exchanges from Hong Kong. Initially First Global Credit, (now rebranded as the Panxora exchange) allowed traders to use their cryptocurrency capital to back trading other asset classes. Panxora prioritizes security and in this regard, it will store all the submitted documents in an encrypted format behind its firewall to prevent access by unauthorized third parties. "
739,Vexchange,"Vexchange is a fork of Uniswap with support for governance-adjustable swap & platform fees. The swap fees can be adjusted from 5bps to 200bps and the platform fees can be adjusted from 0bps to 5000bps (platform fee is charged on LP profits, swap fee is trade fee).

Vexchange runs on the VeChainThor blockchain and is a integral part of the VeChain DeFi ecosystem"
740,TAGZ,The World's Largest Altcoin Exchange Hub.
741,Koinim,"Koinim is a Turkish cryptocurrency exchange founded in 2013, which accepts Lira bank transfers."
742,AEX,AEX is a cryptocurrency exchange oriented mainly towards the Chinese market. 
743,Centex,
744,Satowallet,
745,AjuBit,"The World's First Informative Crypto Platform! Our unique design, advance matching engine, each pair Global market Price Analysis Study and Overview gives real trading taste and environment!"
746,BitMart,"BitMart is a premier global digital asset trading platform that launched in 2017. Headquartered in the Cayman Islands, featuring branch offices in the United States, China, and South Korea, BitMart currently offers crypto-to-crypto trading for coins and utility tokens only, and serving over 500.000 customers over 180 countries."
747,Coinbuy cash,
748,xBTCe,"xBTCe cryptocurrency exchange was founded by a group of experienced traders, finance professionals and crypto enthusiasts in 2015."
749,LocalCoin DEX,"LocalCoin is the true democracy decentralized ecosystem where everyone is free to do what they want and say what they want. LocalCoin is not a company or a person, it is a community of people who shares the same libertarian values and freedoms."
750,Tokenize,
751,ChainX,0
752,Uniswap V1,"Uniswap is a protocol for automated token exchange on Ethereum. It was launched on November 2, 2018. Uniswap describes itself as a simple smart contract interface for swapping ERC20 tokens. It has a formalized model for pooling liquidity reserves. It serves as an open-source frontend interface for traders and liquidity providers and is committed to providing free and decentralized asset exchange."
753,BHEX,
754,Zonexh,"Zonexh is a sophisticated and secure crypto-to-crypto transaction platform that was established in 2021 to provide consumers with secure and dependable digital asset exchange services. Zonexh exchange platform provides a cutting-edge novel API, as well as dependable security solutions, self-service management capabilities, and an effective alerting module. Zonexh is in a class by itself when it comes to client attractiveness, with a fixed trading cost of 0.1 percent, which is significantly lower than the global industry average of 0.25 percent. Zonexh also has a very robust trade engine framework that can process around 1,000 transactions per second."
755,OEX,"OEX is a Chinese cryptocurrency exchange, which provides access to some well known altcoins. "
756,KickEX,"Launched on 25/05/2020, KickEX is an exchange based in Peterburi tee 47, Harju maakond, Lasnamäe linnaosa, Tallinn, 11415, Estonia. It supports crypto pairs and buying/selling crypto with credit cards. KickEX is licensed by the Estonian Financial Intelligence Unit (FIU) (license numbers: FVR001087, FRK000972)."
757,OKEx Korea,0
758,P2B,"Based in Lithuania, P2B is a multi cryptocurrency exchange platform. It provides users with the ability to trade (buy/sell) cryptocurrencies on the platform. The Exchange main currencies supported are BTC, ETH, and USD, the trading fees are free of cost and it has a free listing of any business app’s API. More than 95% of all currency are stored on cold wallets."
759,Coinquista,"Coinquista has been developed since 2017 - the company already has a distinctive product ready for efficient customer service. The stock exchange will allow secure trading and storage of cryptocurrencies. Thanks to the option of tracking the best investors and trading under the care of experts, as well as an intuitive interface, Coinquista will allow you to easily enter the world of investment. Access to extensive statistics and the most popular cryptocurrencies will meet the expectations of demanding and experienced users."
760,Xena Exchange,
761,FCoin,
762,qTrade,"qTrade LLC is a digital asset exchange launched in April 2018 and based in the United States, registered in Kansas. The qTrade platform provides split-second trade execution, industry-leading security practices, and a robust, scalable architecture. Their mission is to help drive blockchain technology forward by reducing the barriers faced by innovative new and emerging technology. "
763,Phemex,"Led by former Morgan Stanley executives, Phemex is the most efficient crypto trading and investment platform. Launched in 2019, Phemex serves around 5 million active users in over 200 countries. Phemex supports 137+ contract trading pairs with up to 100x leverage and 238+ spot trading pairs, making it easy and efficient to trade and buy cryptocurrency."
764,BIT,"BIT is a full-featured cryptocurrency exchange that is designed for use by professionals, with advanced risk management and fund efficiency supported by Portfolio Margin and Unified Margin. 

BIT was launched in August 2020 as an affiliate of Matrixport, a prominent crypto financial service company. BIT is one of the top crypto options trading platforms which offer innovative USD-margined trading pairs. 

BIT is always striving to enhance its trading tools, inspire the creation of innovative financial products, and widen its selection of tokens."
765,Buda,"Buda (which was previously known as SURBTC) is an entry-level cryptocurrency exchange launched in 2015, focused on some South American countries. They are based in Chile, but also service traders in Colombia and Peru."
766,ViteX,"ViteX is decentralized exchange running on the public chain - Vite. It allows mining ViteX coin (VX) in five different ways (trading, listing, making orders, referring, staking). VX holders share income from the DEX. ViteX has an operator concept, where operators can autonomously list coins, set trading fees and earn on these fees. Because of the open operator approach, many interesting altcoins not found in mainstream exchanges found their way into ViteX."
767,Hanbitco,0
768,Emirex,
769,Kanga,"Kanga Exchange is a dedicated platform for all ICO market participants, i.e. investors, creators, brokers, and so on. The heart of the project is a cryptocurrency and token exchange; however, the founders’ goal is to create a site that not only allows for cryptographic asset trading but also
provides token creation tools, transaction processing mechanisms for ICO project customers preferring means of payment other that the ICO token (e.g. BTC, USD, EUR, etc.), and many other features."
770,Thore Exchange,As part of the Thore Network (Thorecoin ThoreCash ThoreNext ThoreExchange) long term visions we have created our own exchange platform.
771,Bit2Bit,"Bit2Bit.IN is an India based exchange targeting mainly Indian customers. It is sister company of TychExchange. It claims to be also the first exchange to do many things. We have a 100% clearing and settlement based system for all deposits, withdrawals and trades, like traditional stocks markets have. Bit2Bit.IN also has 100% cold storage wallets (the client's deposits are also direct to cold storage only). Even with the 100% cold storage, clients’ deposits are still instant in their accounts using our proprietary system. Most importantly, though everyone claims to be secure, Bit2Bit.IN claims that it has developed a system where they worked on being ""hack irrelevant"" rather than being hack resistant. In short, their system is claimed to be built in a way where client's funds and private data are secure even if the whole system is hacked."
772,Beldex,"Beldex envisions to create a free world where individual privacy is respected. Centralized cryptocurrency exchanges nowadays act no different from banks. While at the same time, there are several difficulties in using a decentralized exchange. To overcome these constraints, Beldex is coming up with a hybrid exchange.

The Beldex coin, a fork of Monero was created to protect transaction privacy. It is the ecosystem coin of the Beldex exchange. Beldex serves a global audience and strives to be inclusive in its services. Beldex is also the first Sharia’h compliant exchange catering to Islamic traders and crypto-enthusiasts all over the world."
773,GoSwap,A decentralized exchange on GoChain. Like Uniswap without the insane gas fees.
774,Xtheta Global,"Launched in July 2020, Xtheta Global is a centralized cryptocurrency exchange. It is a member of Xtheta Holdings, which includes Xtheta Japan, a licensed Japanese cryptocurrency exchange.

Xtheta Global supports crypto to crypto trading, perpetual contracts, and OTC trading."
775,IQFinex,QFinex cryptocurrency exchange is an innovative trading platform that combines a clear interface and a low commission.
776,embr,"embr is a one-stop decentralized investment platform on Avalanche leveraging the ""Best in Breed"" DeFi protocols to offer decentralized investment strategies. Built on BalancerV2, embr is the first next-generation AMM protocol on Avalanche.
embr offers swap, staking, farming, weighted investment pools and compose your own pool options. Weighted investment pools transform the concept of an index fund: instead of paying fees to portfolio managers to rebalance your portfolio, you collect fees from traders, who auto-rebalance your portfolio as they follow arbitrage opportunities."
777,Gate.io Futures,
778,VBTC,"VBTC is an entry-level Vietnamese cryptocurrency exchange. This means the company allows locals to exchange their Dongs (VND) into Bitcoin. The project is based on the BLINKTRADE platform, which is utilized by similar companies in Brazil, Chile and Venezuela. "
779,BETCONIX,"BETCONIX is a centralized cryptocurrency exchange with a European license, the headquarters of the exchange is located in the Czech Republic."
780,GBX Digital Asset Exchange,GBX Digital Asset Exchange is Gibraltar-based exchange.
781,SpookySwap,
782,BitcoinToYou,"BitcoinToYou is an exchange based in Brazil. Started in 2010, BitcoinToYou has approximately on boarded 1,50,000 customers on its platforms. Being almost 8 years in the industry, it has established a great trust with its customers."
783,MeTrxChain,A Global Digital Asset Trading Platform With Low Fees and Best Execution Prices
784,StakeCenter,StakeCenter is a Pos pool and Exchange. Additional profit from using our exchange is that your coins are still staking.
785,Amoveo,0
786,StrongHands Exchange,"Launched on May 2020, SHNDX is a new Hybrid exchange created in partnership with Birake Network easy-to-use for day traders and long term investors. Claims to have a great user interface to assess you in your cryptocurrency trading."
787,QB,"QB is registered in the UK, aiming as a global high-quality digital asset trading platform, and the core team members have many years of experience in trading system development, security, and blockchain. Currently, QB holds Canadian digital asset trading license."
788,Coinsbit,
789,ExtStock,"ExtStock was registered in UK in 2018 and offer USD and EUR trading against BTC, ETH and other major coins. The daily volume reaches $12M and growing."
790,Darb Finance,"Darb Trade focuses on supporting trading between FIAT and Cryptocurrencies with state of the art technology and financial instruments. Allowing anyone (no matter his/her experience with assets trading or blockchain technology) easy access to Crypto/FIAT, FIAT/ FIAT, and Crypto/crypto access. 
        
We are a grassroots community of people working on mass adoption of blockchain based assets. By understand the market, we put more focus on being the gateway for mass users to Crypto world,more focus on servicing B2B in Wallet and exchange of FIAT with Crypto, more effort on providing Better Interface for blockchain participants."
791,Resfinex,"Resfinex is a digital asset trading platform for Ethereum tokens, Bitcoin and innovative blockchain. We focus on providing the highest level of security, transparency and customer service."
792,XS2,"XS2 Cryptocurrency exchange is the new player in crypto markets launched by an Australian based company in 2018. This blockchain initiative by XS2 is within the Australian laws where the parent company has been registered as a Cryptocurrency Exchange. In addition, the platform has also acquired the rights to act as a Dealer Independently. XS2 also enjoys Australia’s Digital Commerce Association (ADCA) membership. "
793,Slicex,"Slicex claims to be powered by a state-of-the-art trading engine, with a strong focus on transparency, reliability, quality execution, and client support. Platform claims that it offers great crypto trading experience with all essential features and tools that traders expect."
794,Sparkdex,"Sparkdex is Bitspark’s decentralised exchange, purpose-built for trading cryptocurrencies and local currency stablecoins. Trading decentralised is the safest way to trade crypto as you are in control of your own keys and funds. The most popular markets on the Sparkdex are BTC, ETH, BTS, ZEPH and stablecoins for USD, HKD, CNY, GBP, EUR, SGD, AUD, and PHP. Bitspark is focused on stablecoins beyond the US dollar and with every new stablecoin added to the system, new trading pairs are created that present unique trading opportunities you simply can’t find anywhere else."
795,Flame,"Flame.Exchange focuses mainly on the following four points:

Security - Built and maintained to the highest security practices to ensure our users and their funds are always protected. We encrypt your personal data and private keys with 256-bit encryption.
Reliability - We strive to keep the best uptime possible (5nines)
Privacy - You are not required to submit KYC documents until you trade $20,000+ in a space of 3 days
Speed - We use a high speed caching CDN to deliver the fastest connections around the world"
796,Graviex,Graviex is a cryptocurrency exchange associated with the Gravio project. The exchange launched in February 2018. Graviex is coin exchange that was originally created in Russia and has its data center there. Graviex recently moved their headquarters to the Malta.
797,Trader Joe V2 (Arbitrum),
798,AscendEX (BitMax),"AscendEX is – like many other exchanges – registered in Singapore. AscendEX is a public chain where all the downstream and upstream economic systems hosted on its blockchain will be empowered to attain further expansion within the autonomous digital economy. AscendEX launched an ICO in the second half of 2018. In the ICO, the presented time line detailed that the launch of the “exchange public chain” is to occur in April 2019."
799,PBank,"PBank is a global digital asset service platform registered in Singapore and controlled by Dade bank of America, providing users around the world with safe, stable and convenient integrated digital asset service. PBank pays attention to compliance, and has obtained cooperation with local regulatory agencies in overseas countries. It has many compliance licenses and compliance support from America(MSB license), Kyrgyzstan and other overseas countries. PBank develops diversified business strategy. It not only has operation centers in many places around the world, but also includes digital asset bank, investment bank, digital asset exchange and digital asset wallet. PBank provides users with industry-leading transaction depth and safety and fast operation experience. Meanwhile, mobile terminal and multi-language switch make it convenient for users around the world to use anytime and anywhere."
800,LATOKEN,
801,Bit-Z,"Bit-Z founded in 2016 in Hong Kong, China, is one of the most popular digital assets trading exchanges. Bit-Z has established branches in 10 countries and regions including Singapore, Japan and South Korea. To keep customers secure, Bit-Z uses bank-level SSL technology."
802,Veridex,"Launched in Jul 2019, VeriDex is a decentralized exchange based in Brazil. Veridex describes itself as an open-source DEX that runs on 0x smart contracts and is connected to the 0x mesh network. Veridex provides multiple pairs against its native token Verisafe. Veridex is the main product offered as ''DEX as a service"" for token teams that want to deploy their own DEX."
803,fex,"FEX is a crypto-to-crypto exchange operating out of Hong Kong and mostly targeting the Chinese audience. Trading is done against BTC, ETH and USDT."
804,Covesting,"Covesting is a fully licensed digital asset exchange and trading platform, offering a variety of features for both beginners and professional traders."
805,USTX DEX,"USTX DEX is a decentralized exchange on the Tron blockchain that allows to swap the USTX token for USDT, USDC, USDJ and TUSD.
The DEX is controlled by a smart contract that actively manages the liquidity inside the DEX to reduce the volatility of the USTX token, enabling long term growth of the asset while reducing the losses during adverse market periods.
The is no fee for buying and a 1% fee on sell operations.
The DEX can be accessed using Tronlink or Klever wallets."
806,CryptoMarket,"CryptoMarket is a South American crypto exchange. It allows users to buy and sell Bitcoin, Ethereum and other cryptocurrencies directly with their local currencies - Argentinian Peso, Chilean Peso, Euro, and Brazilian Real."
807,Alterdice,"Alterdice describes itself as a cryptocurrency trading platform with low commissions. The team claims to offer the most liquid exchange in the world that allows users to exchange cryptocurrencies for other assets. It also offers a host of order types to help traders manager different scenarios. Alterdice aims to provide a secure, reliable, and stable environment for digital assets trading through its mobile application and web interface."
808,CoinsBank,"CoinsBank was initially named BIT-X, but in April 2016 has undergone a complete redesign and emerged again renamed as CoinsBank. With CoinsBank users can trade Bitcoin (BTC) and Litecoin (LTC) against “traditional” (fiat) currencies, such as USD, EUR, GBP, CHF, AUD, JPY, and RUB."
809,Fisco,"Fisco is a Japanese exchange that focuses on trading Bitcoin and several other other digital assets against the local currency, JPY. It also facilitates coin-to coin trades. The biggest advantage of Fisco exchange is the fact that it holds a license by JFSA, as required by local law."
810,ArthBit,"ArthBit platform has been designed for all investors around the globe. It is run by CA Ajay K Jayswal. ArthBit offers USDT and INR Market, Arthbit providing fast withdrawal and Deposit service in Fiat Currency. established in 2020."
811,QueenDex Exchange,QueenDex Fast Growing Cryptocurrency Exchange Platform.
812,HitBTC,"HitBTC is the world’s most advanced cryptocurrency exchange. Created by outstanding technical minds, high-level finance professionals and experienced traders, HitBTC is delivering the most reliable, fast and powerful platform solution on the market. The platform has earned its reputation for fault-tolerance, flawless uptime and high availability. Its core matching engine is among the best technological products in its class, offering traders a wide range of features such as real-time clearing and cutting-edge order matching algorithms."
813,Coinstore,
814,Coinnest,"Coinnest is a Korean cryptocurrency exchange that was launched in 2017. Coinnest has a mobile application for iOS and Android devices that can be used for trading and offers charts, notifications and other features."
815,Binance JEX (Spot),
816,FYB-SG,"FYB-SG is a Singapore cryptocurrency exchange that has been operating since 2014. It is owned by the company Dealworks Pte Ltd, which says it is registered as a Deposits stored value facility and does not require the approval of the Monetary Authority of Singapore (MAS).  FYB-SG has a mobile application for Android and iOS devices. It has the full functionality of the trading platform and allows placing, canceling and viewing of orders, price info, trade history and order book. "
817,BITBOX,"BTCBOX is a Japanese cryptocurrency exchange, which is regulated by the Financial Services Agency (JFSA). "
818,3XBIT,We are more than an exchange.
819,XBTPro,"XBTPro is a new cryptocurrency exchange, which claims to aim to provide users around the globe with a fast and secure trading experience."
820,Ore.Bz,"Ore.bz exchange offers deposits via credit card, if you use the payment systems. They support fiat currency USD, Bitcoin and a few altcoins like Ethereum, DASH or ZCash."
821,Coinfloor,Coinfloor is a bitcoin exchange service found online at Coinfloor.co.uk. The service promises to make it easy to buy bitcoins in minutes. In October 2013 the company announced raising an undisclosed amount of venture capital funding from Passion Capital and Taavet Hinrikus.
822,TurtleNetwork DEX,
823,SIGEN.pro,"Launched on 22.05.2015, SIGEN.pro is centralized exchange with P2P trading platform. Based in 17 Union Street, Suite 1, Dundee, DD1 4BG, Scotland, UK. Business legal name — Lergen Style LLP. SIGEN.pro exchange supports such cryptocurrencies as BITCOIN (BTC), LITECOIN (LTC), ETHEREUM (ETH), PRIZM (PZM). SIGEN P2P trading platform supports RUB, USD, UAH, EUR, KZT, CZK and such cryptocurrencies as BITCOIN (BTC), LITECOIN (LTC), ETHEREUM (ETH), PRIZM (PZM). SIGEN.pro is 3-in-1 trading platform, where you can: 1) Trade and store cryptocurrencies 2) Quickly swap cryptocurrencies using our automated exchange 3) Buy and sell cryptocurrencies on our P2P trading platform, using cards of different banks of the world and different payment services."
824,CoinFalcon,"CoinFalcon is UK cryptocurrency founded in 2017. The CoinFalcon platform currently offers support for the purchase of Bitcoin, IOTA, Litecoin, and Ethereum, and offers a range of trading pairs."
825,Alcor Exchange,"Founded in 2020 Alcor is decentralized exchange based on EOSIO tech, that was first exchange allowed community to list their tokens with no validation and request permission. Which gives the opportunity for the community to carry out truly free trade.

Alcor supports many wallets, such as Wax Cloud Wallet, Anchor, Scatter and others.

Thanks to eosio technology, the order book is located directly in the blockchain, which provides an absolutely secure trading opportunity.

At the moment, Alcor supports blockchains: WAX, EOS, Proton, Telos.

The community is actively involved in the development of the project. The project code is open on github and everyone has the right to really influence the project by offering their improvements."
826,Paymium,"Paymium is a French cryptocurrency exchange with headquarters in Paris, that offers trading between Bitcoin and EUR. It has been operating since 2011 and offers its services globally, including the USA. Paymium also allows for the opening of company accounts.  Paymium offers its own mobile trading application for Android and iOS devices. It allows users to create alerts, manage orders and positions and to pay in Bitcoins instantly. The only cryptocurrency Paymium offers, is Bitcoin."
827,Trade Crypto King,"Tradecryptoking is a digital asset exchange and trading platform, offering a variety of features for both beginners and professional traders. Markets available: BTC, ETH, USD. Head office is in USA."
828,Lupbit,"Our young and enthusiastic team has been working on the project since 2019. We have a good understanding of digital currency trading and know the needs of our customers. A trader must have a wide choice of assets for trading, therefore we offer not only popular cryptocurrencies (Bitcoin, Ethereum, Litecoinand others), but also rare ones. Our list of trading pairs is constantly growing. We are always open to collaborating with cryptocurrency owners."
829,PurCow,
830,Insta FX,
831,Astroport (Terra 2.0),
832,Binance US,"Binance US is a secure platform for users to buy, sell, and store cryptocurrencies."
833,AraguaneyBits,"Exchange cryptocurrency on the best terms, quickly and without complicated checks! AraguaneyBits is an instant and automatic exchange of Venezuelan cryptocurrencies such as BOLI, AREPA, ONIX, LKR, ANDES, RILCOIN among others. Their main focus is to support the exchange of the Altcoins that were born in Venezuela as well as others that are widely used as BTC and DASH."
834,Extrading,
835,CoinSpot,"CoinSpot was founded in Melbourne in 2013 which allows trading against the AUD. They are a well known company, which is respected in the local Bitcoin community. CoinSpot is a member of ADCA - the Australian Digital Commerce Association. This may not be a regulatory body, but it shows a long term commitment to the adoption of blockchain technology. "
836,Triple Dice Exchange,0
837,TimebitEx,
838,Netswap,
